State,Gender,Year,Deaths
Arizona,Male,2008,749
Connecticut,Male,2008,178
Arizona,Female,2008,151
Connecticut,Female,2008,21
New Hampshire,Female,2009,15
Vermont,Male,2009,53
Nebraska,Male,2009,115
Nebraska,Female,2009,16
Virginia,Female,2009,120
Wyoming,Female,2009,13
Wyoming,Male,2009,83
Rhode Island,Female,2009,0
Rhode Island,Male,2009,52
Mississippi,Male,2009,414
Mississippi,Female,2009,72
Virginia,Male,2009,701
New Jersey,Male,2009,371
New Jersey,Female,2009,37
Tennessee,Male,2009,844
Pennsylvania,Female,2009,187
Pennsylvania,Male,2009,1149
North Dakota,Female,2009,0
Tennessee,Female,2009,124
North Dakota,Male,2009,52
New Hampshire,Male,2009,74
New York,Male,2009,849
South Carolina,Male,2009,526
South Carolina,Female,2009,107
New York,Female,2009,95
South Dakota,Male,2009,70
South Dakota,Female,2009,0
Washington,Male,2009,501
Washington,Female,2009,101
Missouri,Female,2009,119
Utah,Female,2009,40
Wisconsin,Female,2009,68
Wisconsin,Male,2009,385
Utah,Male,2009,214
Oklahoma,Female,2009,86
Oklahoma,Male,2009,445
West Virginia,Male,2009,214
Ohio,Male,2009,840
Nevada,Female,2009,58
Nevada,Male,2009,344
Ohio,Female,2009,143
North Carolina,Female,2009,183
North Carolina,Male,2009,931
Montana,Female,2009,21
Montana,Male,2009,147
Texas,Male,2009,2248
Texas,Female,2009,426
New Mexico,Male,2009,256
New Mexico,Female,2009,39
Oregon,Female,2009,68
Oregon,Male,2009,345
Vermont,Female,2009,0
West Virginia,Female,2009,38
Missouri,Male,2009,699
Indiana,Female,2009,88
Maine,Male,2009,104
Michigan,Female,2009,122
Michigan,Male,2009,967
Idaho,Male,2009,163
Indiana,Male,2009,647
Alabama,Female,2009,151
Kansas,Female,2009,41
Kansas,Male,2009,259
Minnesota,Male,2009,300
Minnesota,Female,2009,34
Massachusetts,Male,2009,180
Massachusetts,Female,2009,23
California,Female,2009,333
Kentucky,Male,2009,453
Delaware,Male,2009,65
Delaware,Female,2009,0
Kentucky,Female,2009,105
Connecticut,Female,2009,22
Connecticut,Male,2009,151
Maryland,Female,2009,65
Maryland,Male,2009,507
Arkansas,Female,2009,64
Arkansas,Male,2009,402
Georgia,Female,2009,222
Georgia,Male,2009,1021
Maine,Female,2009,17
Alabama,Male,2009,680
Idaho,Female,2009,29
Alaska,Female,2009,16
Louisiana,Female,2009,118
California,Male,2009,2707
Iowa,Male,2009,174
Alaska,Male,2009,86
Colorado,Female,2009,87
Iowa,Female,2009,18
Arizona,Female,2009,160
Colorado,Male,2009,490
Louisiana,Male,2009,691
Arizona,Male,2009,690
Hawaii,Female,2009,0
District of Columbia,Male,2009,101
District of Columbia,Female,2009,0
Florida,Male,2009,1921
Hawaii,Male,2009,40
Florida,Female,2009,390
Illinois,Male,2009,946
Illinois,Female,2009,103
Vermont,Female,2010,10
Massachusetts,Female,2010,27
Georgia,Male,2010,1020
Georgia,Female,2010,199
Rhode Island,Female,2010,0
Rhode Island,Male,2010,46
Vermont,Male,2010,60
Connecticut,Male,2010,192
Utah,Male,2010,266
Utah,Female,2010,42
Nebraska,Female,2010,18
Colorado,Female,2010,80
Colorado,Male,2010,458
Kansas,Male,2010,255
Kansas,Female,2010,37
North Carolina,Male,2010,942
Nebraska,Male,2010,137
Pennsylvania,Female,2010,142
Pennsylvania,Male,2010,1160
Massachusetts,Male,2010,241
Connecticut,Female,2010,18
Tennessee,Male,2010,771
Texas,Female,2010,415
Nevada,Male,2010,325
Alabama,Female,2010,127
Tennessee,Female,2010,157
New Mexico,Male,2010,255
Alaska,Male,2010,116
Alaska,Female,2010,27
District of Columbia,Female,2010,0
District of Columbia,Male,2010,93
Maine,Female,2010,12
New Mexico,Female,2010,32
New Jersey,Female,2010,43
New Jersey,Male,2010,410
Florida,Female,2010,379
South Dakota,Female,2010,10
South Dakota,Male,2010,63
Alabama,Male,2010,654
Louisiana,Female,2010,123
Florida,Male,2010,1873
Nevada,Female,2010,60
Maine,Male,2010,97
Wisconsin,Female,2010,51
New York,Male,2010,923
New York,Female,2010,81
Maryland,Male,2010,488
Maryland,Female,2010,45
Wyoming,Male,2010,76
Texas,Male,2010,2284
Hawaii,Female,2010,0
Wyoming,Female,2010,16
Delaware,Female,2010,0
Kentucky,Female,2010,80
Kentucky,Male,2010,473
New Hampshire,Female,2010,20
New Hampshire,Male,2010,96
South Carolina,Female,2010,103
South Carolina,Male,2010,541
Wisconsin,Male,2010,442
Delaware,Male,2010,81
Hawaii,Male,2010,38
North Carolina,Female,2010,182
Arkansas,Male,2010,351
Virginia,Female,2010,127
Virginia,Male,2010,740
Oregon,Male,2010,379
Oregon,Female,2010,69
Idaho,Female,2010,24
Idaho,Male,2010,174
Arkansas,Female,2010,68
Washington,Female,2010,100
Washington,Male,2010,494
Missouri,Male,2010,749
Missouri,Female,2010,96
Minnesota,Female,2010,43
Minnesota,Male,2010,314
Indiana,Male,2010,601
Indiana,Female,2010,104
Oklahoma,Male,2010,459
Ohio,Female,2010,153
Ohio,Male,2010,988
Arizona,Male,2010,787
Arizona,Female,2010,134
West Virginia,Female,2010,36
West Virginia,Male,2010,233
Oklahoma,Female,2010,78
Illinois,Female,2010,100
Illinois,Male,2010,959
Mississippi,Male,2010,382
Mississippi,Female,2010,94
North Dakota,Male,2010,60
Michigan,Male,2010,942
Louisiana,Male,2010,741
Montana,Female,2010,27
California,Male,2010,2531
Montana,Male,2010,139
North Dakota,Female,2010,0
Michigan,Female,2010,125
Iowa,Male,2010,181
California,Female,2010,358
Iowa,Female,2010,33
Delaware,Female,2011,13
West Virginia,Male,2011,221
Indiana,Male,2011,537
Kentucky,Female,2011,95
Washington,Male,2011,501
Delaware,Male,2011,64
New Jersey,Female,2011,36
Montana,Male,2011,138
Missouri,Female,2011,128
Missouri,Male,2011,724
New Jersey,Male,2011,438
Iowa,Female,2011,27
Florida,Female,2011,365
Florida,Male,2011,1995
Iowa,Male,2011,193
Idaho,Male,2011,163
Washington,Female,2011,98
Wyoming,Female,2011,13
Pennsylvania,Female,2011,170
Pennsylvania,Male,2011,1259
Massachusetts,Male,2011,224
New Hampshire,Female,2011,13
New Hampshire,Male,2011,75
Vermont,Male,2011,69
West Virginia,Female,2011,51
New Mexico,Male,2011,255
Ohio,Female,2011,170
Arizona,Male,2011,823
California,Male,2011,2568
California,Female,2011,361
Oklahoma,Female,2011,114
Oklahoma,Male,2011,512
Arizona,Female,2011,131
Maine,Female,2011,22
Maine,Male,2011,109
Colorado,Female,2011,79
Tennessee,Female,2011,165
Tennessee,Male,2011,780
Indiana,Female,2011,94
Minnesota,Male,2011,354
South Carolina,Male,2011,570
South Carolina,Female,2011,128
Alaska,Female,2011,24
Alaska,Male,2011,101
Minnesota,Female,2011,39
Colorado,Male,2011,484
Vermont,Female,2011,0
Wyoming,Male,2011,83
Kentucky,Male,2011,515
New Mexico,Female,2011,44
District of Columbia,Female,2011,0
Texas,Male,2011,2157
Alabama,Male,2011,644
Hawaii,Male,2011,39
Virginia,Male,2011,713
Virginia,Female,2011,140
Georgia,Female,2011,215
South Dakota,Male,2011,56
Nebraska,Female,2011,20
South Dakota,Female,2011,11
Kansas,Male,2011,268
Illinois,Male,2011,1002
North Dakota,Male,2011,53
Texas,Female,2011,430
Kansas,Female,2011,56
Utah,Male,2011,246
North Dakota,Female,2011,0
Nebraska,Male,2011,141
Michigan,Male,2011,1021
Michigan,Female,2011,126
Georgia,Male,2011,1005
Alabama,Female,2011,142
Louisiana,Female,2011,143
North Carolina,Female,2011,183
North Carolina,Male,2011,970
Louisiana,Male,2011,727
Utah,Female,2011,53
Connecticut,Male,2011,193
Connecticut,Female,2011,17
Oregon,Male,2011,361
Wisconsin,Female,2011,52
Wisconsin,Male,2011,391
Arkansas,Female,2011,76
Arkansas,Male,2011,385
Idaho,Female,2011,27
New York,Female,2011,101
New York,Male,2011,886
District of Columbia,Male,2011,79
Massachusetts,Female,2011,23
Mississippi,Male,2011,432
Illinois,Female,2011,96
Maryland,Male,2011,467
Oregon,Female,2011,54
Rhode Island,Female,2011,0
Rhode Island,Male,2011,28
Mississippi,Female,2011,96
Maryland,Female,2011,55
Ohio,Male,2011,1043
Montana,Female,2011,29
Nevada,Female,2011,54
Nevada,Male,2011,311
Hawaii,Female,2011,0
Ohio,Male,2012,1061
Illinois,Female,2012,120
Alabama,Female,2012,132
Illinois,Male,2012,1049
Ohio,Female,2012,189
District of Columbia,Male,2012,61
Iowa,Female,2012,35
District of Columbia,Female,2012,0
North Carolina,Male,2012,975
New Mexico,Male,2012,276
North Carolina,Female,2012,195
Pennsylvania,Female,2012,170
Georgia,Male,2012,1031
Georgia,Female,2012,244
North Dakota,Female,2012,12
Kansas,Female,2012,47
Kansas,Male,2012,326
North Dakota,Male,2012,60
Oregon,Male,2012,363
Oregon,Female,2012,68
Rhode Island,Female,2012,0
Rhode Island,Male,2012,38
Wisconsin,Male,2012,434
Wisconsin,Female,2012,43
New York,Male,2012,892
New York,Female,2012,72
Florida,Male,2012,2027
Oklahoma,Male,2012,507
South Carolina,Male,2012,607
South Carolina,Female,2012,132
Alabama,Male,2012,700
Kentucky,Male,2012,531
Kentucky,Female,2012,116
New Mexico,Female,2012,39
Hawaii,Male,2012,46
Pennsylvania,Male,2012,1267
Indiana,Male,2012,672
Idaho,Male,2012,176
Florida,Female,2012,428
Idaho,Female,2012,28
Iowa,Male,2012,181
Indiana,Female,2012,119
Hawaii,Female,2012,0
Oklahoma,Female,2012,109
Louisiana,Male,2012,716
Michigan,Female,2012,136
Michigan,Male,2012,1078
Virginia,Female,2012,105
Texas,Male,2012,2301
Texas,Female,2012,420
Virginia,Male,2012,724
Louisiana,Female,2012,139
Wyoming,Female,2012,14
Arkansas,Male,2012,415
Alaska,Male,2012,111
Arkansas,Female,2012,70
Alaska,Female,2012,18
Maine,Male,2012,114
Maine,Female,2012,15
New Hampshire,Female,2012,18
Montana,Female,2012,24
Montana,Male,2012,144
California,Female,2012,343
Nevada,Male,2012,285
Nebraska,Male,2012,158
Nebraska,Female,2012,10
Massachusetts,Female,2012,26
Massachusetts,Male,2012,201
Colorado,Female,2012,94
Vermont,Female,2012,0
Utah,Male,2012,282
New Hampshire,Male,2012,98
Utah,Female,2012,38
Wyoming,Male,2012,103
Connecticut,Female,2012,43
Connecticut,Male,2012,185
California,Male,2012,2619
Maryland,Male,2012,519
Maryland,Female,2012,52
Nevada,Female,2012,71
Vermont,Male,2012,54
Missouri,Male,2012,764
Colorado,Male,2012,573
New Jersey,Male,2012,402
Mississippi,Male,2012,434
Mississippi,Female,2012,99
New Jersey,Female,2012,39
Tennessee,Female,2012,154
Tennessee,Male,2012,842
South Dakota,Male,2012,73
South Dakota,Female,2012,11
Minnesota,Male,2012,337
Minnesota,Female,2012,41
West Virginia,Male,2012,219
Washington,Female,2012,95
Arizona,Male,2012,780
Arizona,Female,2012,154
Missouri,Female,2012,121
Delaware,Male,2012,80
Delaware,Female,2012,12
West Virginia,Female,2012,51
Washington,Male,2012,570
Ohio,Male,2013,1106
West Virginia,Female,2013,30
California,Male,2013,2583
Iowa,Female,2013,32
Iowa,Male,2013,219
Vermont,Male,2013,49
California,Female,2013,352
Vermont,Female,2013,15
Idaho,Female,2013,36
Mississippi,Female,2013,97
West Virginia,Male,2013,243
Massachusetts,Male,2013,182
Illinois,Female,2013,122
Illinois,Male,2013,984
Pennsylvania,Female,2013,198
Pennsylvania,Male,2013,1239
North Carolina,Male,2013,1033
North Carolina,Female,2013,187
Nebraska,Female,2013,18
Nebraska,Male,2013,150
Mississippi,Male,2013,426
Massachusetts,Female,2013,18
Montana,Male,2013,135
Idaho,Male,2013,191
Indiana,Male,2013,723
Indiana,Female,2013,121
Missouri,Female,2013,123
Missouri,Male,2013,753
Arkansas,Female,2013,75
Minnesota,Female,2013,52
Minnesota,Male,2013,372
Virginia,Male,2013,716
Virginia,Female,2013,140
Washington,Female,2013,90
North Dakota,Male,2013,81
Ohio,Female,2013,174
North Dakota,Female,2013,0
Michigan,Male,2013,1039
Michigan,Female,2013,146
Oklahoma,Female,2013,117
Washington,Male,2013,525
Arizona,Male,2013,782
Oregon,Female,2013,74
Oregon,Male,2013,383
Hawaii,Male,2013,29
Hawaii,Female,2013,0
Arizona,Female,2013,147
Montana,Female,2013,30
Oklahoma,Male,2013,514
Arkansas,Male,2013,425
Colorado,Female,2013,97
Delaware,Female,2013,16
Nevada,Female,2013,66
Nevada,Male,2013,325
Alabama,Female,2013,139
Connecticut,Female,2013,0
New York,Male,2013,773
New York,Female,2013,81
Connecticut,Male,2013,149
Alaska,Male,2013,119
Alaska,Female,2013,25
Texas,Male,2013,2314
Texas,Female,2013,445
New Mexico,Female,2013,51
Delaware,Male,2013,85
Florida,Male,2013,2012
Colorado,Male,2013,514
Florida,Female,2013,412
South Carolina,Male,2013,599
South Carolina,Female,2013,138
Alabama,Male,2013,716
Maine,Male,2013,133
Maine,Female,2013,21
New Hampshire,Female,2013,0
Kentucky,Female,2013,122
Kentucky,Male,2013,499
Tennessee,Female,2013,166
Tennessee,Male,2013,864
New Mexico,Male,2013,262
Rhode Island,Male,2013,45
New Hampshire,Male,2013,85
Utah,Male,2013,285
New Jersey,Male,2013,455
District of Columbia,Female,2013,0
District of Columbia,Male,2013,64
Rhode Island,Female,2013,10
Utah,Female,2013,49
Wisconsin,Female,2013,63
Wyoming,Male,2013,89
Wyoming,Female,2013,14
Georgia,Female,2013,211
South Dakota,Male,2013,70
Georgia,Male,2013,1038
New Jersey,Female,2013,45
Kansas,Female,2013,42
Kansas,Male,2013,286
Louisiana,Female,2013,123
South Dakota,Female,2013,0
Louisiana,Male,2013,761
Maryland,Male,2013,505
Maryland,Female,2013,62
Wisconsin,Male,2013,501
West Virginia,Female,2014,52
Tennessee,Female,2014,159
Tennessee,Male,2014,857
South Dakota,Female,2014,17
South Dakota,Male,2014,69
West Virginia,Male,2014,227
Delaware,Female,2014,0
South Carolina,Male,2014,623
Illinois,Female,2014,111
Washington,Female,2014,106
Washington,Male,2014,574
District of Columbia,Female,2014,11
District of Columbia,Male,2014,70
Arizona,Male,2014,762
Arizona,Female,2014,155
Delaware,Male,2014,95
South Carolina,Female,2014,140
Colorado,Female,2014,101
Virginia,Male,2014,739
Oklahoma,Male,2014,492
Wisconsin,Female,2014,63
Wisconsin,Male,2014,419
Pennsylvania,Male,2014,1215
Pennsylvania,Female,2014,167
Georgia,Male,2014,1148
Georgia,Female,2014,238
Colorado,Male,2014,552
Utah,Male,2014,275
Utah,Female,2014,48
Alaska,Male,2014,124
Vermont,Female,2014,0
Vermont,Male,2014,61
California,Male,2014,2525
California,Female,2014,337
Alaska,Female,2014,22
Rhode Island,Female,2014,0
Rhode Island,Male,2014,29
Idaho,Male,2014,172
Idaho,Female,2014,37
Connecticut,Male,2014,171
Connecticut,Female,2014,16
Arkansas,Female,2014,92
Arkansas,Male,2014,404
Oklahoma,Female,2014,121
Virginia,Female,2014,141
Florida,Male,2014,2036
Texas,Female,2014,491
Texas,Male,2014,2342
Oregon,Male,2014,404
Hawaii,Male,2014,36
Hawaii,Female,2014,0
Florida,Female,2014,358
Illinois,Male,2014,1059
Oregon,Female,2014,77
Alabama,Male,2014,674
Louisiana,Male,2014,729
Minnesota,Male,2014,329
Minnesota,Female,2014,48
Missouri,Female,2014,133
Indiana,Female,2014,99
Indiana,Male,2014,717
Maine,Female,2014,16
North Carolina,Male,2014,982
Missouri,Male,2014,802
New York,Female,2014,78
New York,Male,2014,784
New Hampshire,Female,2014,11
North Dakota,Male,2014,88
Kansas,Female,2014,44
Wyoming,Male,2014,74
Kansas,Male,2014,276
Maryland,Male,2014,462
Maryland,Female,2014,68
Nevada,Female,2014,70
Nevada,Male,2014,351
North Dakota,Female,2014,0
Louisiana,Female,2014,163
Iowa,Female,2014,33
New Jersey,Female,2014,47
Ohio,Female,2014,158
Iowa,Male,2014,203
Mississippi,Female,2014,79
North Carolina,Female,2014,214
New Mexico,Male,2014,280
Mississippi,Male,2014,463
New Mexico,Female,2014,46
Kentucky,Female,2014,114
Kentucky,Male,2014,517
Maine,Male,2014,113
New Jersey,Male,2014,416
Nebraska,Male,2014,165
Nebraska,Female,2014,14
Massachusetts,Female,2014,28
Massachusetts,Male,2014,196
Montana,Male,2014,145
Ohio,Male,2014,1040
Wyoming,Female,2014,17
Montana,Female,2014,22
Michigan,Female,2014,139
Michigan,Male,2014,951
Alabama,Female,2014,139
New Hampshire,Male,2014,108
Texas,Male,2015,2654
North Carolina,Female,2015,195
Nevada,Female,2015,91
Maryland,Female,2015,54
Maryland,Male,2015,642
Pennsylvania,Male,2015,1293
Pennsylvania,Female,2015,182
Texas,Female,2015,534
North Carolina,Male,2015,1079
Colorado,Male,2015,589
Colorado,Female,2015,100
Utah,Female,2015,49
Utah,Male,2015,312
Iowa,Male,2015,205
South Carolina,Male,2015,691
Nevada,Male,2015,345
Connecticut,Female,2015,22
Delaware,Female,2015,16
Georgia,Male,2015,1186
South Carolina,Female,2015,154
New Mexico,Female,2015,58
New Mexico,Male,2015,315
Kentucky,Female,2015,111
Kentucky,Male,2015,574
District of Columbia,Male,2015,109
District of Columbia,Female,2015,0
South Dakota,Female,2015,13
Florida,Female,2015,374
Florida,Male,2015,2175
South Dakota,Male,2015,81
New Jersey,Male,2015,430
New Jersey,Female,2015,35
Kansas,Male,2015,277
Kansas,Female,2015,49
New York,Female,2015,70
Louisiana,Female,2015,141
Georgia,Female,2015,251
Maine,Male,2015,123
Maine,Female,2015,19
Alabama,Male,2015,783
Alabama,Female,2015,172
New Hampshire,Female,2015,21
Connecticut,Male,2015,164
New Hampshire,Male,2015,98
Tennessee,Female,2015,181
New York,Male,2015,770
Rhode Island,Female,2015,0
Rhode Island,Male,2015,46
Delaware,Male,2015,94
Louisiana,Male,2015,811
Tennessee,Male,2015,886
Alaska,Female,2015,37
Iowa,Female,2015,40
Wyoming,Male,2015,96
Vermont,Male,2015,63
North Dakota,Female,2015,12
Oklahoma,Male,2015,586
Oklahoma,Female,2015,121
North Dakota,Male,2015,80
Minnesota,Female,2015,53
Minnesota,Male,2015,350
Ohio,Male,2015,1183
Ohio,Female,2015,200
California,Male,2015,2663
Vermont,Female,2015,0
Washington,Female,2015,131
Virginia,Female,2015,150
California,Female,2015,333
Alaska,Male,2015,138
Washington,Male,2015,576
Idaho,Male,2015,208
Montana,Male,2015,165
Montana,Female,2015,37
Michigan,Female,2015,139
Michigan,Male,2015,1015
Indiana,Male,2015,712
Virginia,Male,2015,787
Arizona,Male,2015,790
Idaho,Female,2015,38
Oregon,Female,2015,76
West Virginia,Male,2015,229
West Virginia,Female,2015,42
Hawaii,Female,2015,0
Hawaii,Male,2015,51
Nebraska,Male,2015,149
Nebraska,Female,2015,19
Massachusetts,Female,2015,22
Illinois,Male,2015,1094
Massachusetts,Male,2015,183
Wisconsin,Female,2015,70
Wisconsin,Male,2015,539
Illinois,Female,2015,116
Mississippi,Female,2015,101
Mississippi,Male,2015,488
Arkansas,Female,2015,100
Arkansas,Male,2015,419
Missouri,Male,2015,934
Missouri,Female,2015,156
Arizona,Female,2015,167
Wyoming,Female,2015,17
Oregon,Male,2015,399
Indiana,Female,2015,124
Missouri,Male,2016,955
Missouri,Female,2016,180
Utah,Male,2016,309
New Jersey,Female,2016,45
Washington,Male,2016,571
Mississippi,Female,2016,105
Mississippi,Male,2016,477
Minnesota,Male,2016,367
District of Columbia,Male,2016,97
District of Columbia,Female,2016,0
Minnesota,Female,2016,56
Washington,Female,2016,97
Kentucky,Female,2016,139
New Jersey,Male,2016,437
Wyoming,Male,2016,86
Arizona,Female,2016,185
Arizona,Male,2016,897
South Dakota,Female,2016,17
South Dakota,Male,2016,86
Kentucky,Male,2016,621
Louisiana,Female,2016,162
Michigan,Male,2016,1065
Delaware,Male,2016,98
Texas,Female,2016,571
Texas,Male,2016,2753
Wyoming,Female,2016,16
California,Female,2016,362
California,Male,2016,2757
Alaska,Male,2016,136
Alaska,Female,2016,35
Vermont,Female,2016,0
Massachusetts,Male,2016,217
Maryland,Female,2016,68
Maryland,Male,2016,622
Colorado,Male,2016,668
Colorado,Female,2016,126
Nebraska,Male,2016,146
Nebraska,Female,2016,18
Utah,Female,2016,54
Massachusetts,Female,2016,14
Louisiana,Male,2016,823
Nevada,Female,2016,80
Vermont,Male,2016,71
Delaware,Female,2016,14
New Hampshire,Male,2016,115
Arkansas,Female,2016,102
Arkansas,Male,2016,433
New Hampshire,Female,2016,16
Virginia,Male,2016,875
Virginia,Female,2016,163
Nevada,Male,2016,409
Tennessee,Female,2016,186
Michigan,Female,2016,162
Montana,Female,2016,31
Maine,Female,2016,11
Montana,Male,2016,160
Maine,Male,2016,111
Connecticut,Male,2016,155
Connecticut,Female,2016,15
Tennessee,Male,2016,959
South Carolina,Male,2016,736
West Virginia,Male,2016,268
Oklahoma,Male,2016,654
Oklahoma,Female,2016,114
Alabama,Male,2016,857
Pennsylvania,Female,2016,187
North Carolina,Female,2016,257
North Carolina,Male,2016,1130
Georgia,Male,2016,1317
Hawaii,Male,2016,51
Hawaii,Female,2016,13
Florida,Female,2016,457
Wisconsin,Male,2016,573
Rhode Island,Male,2016,42
New York,Male,2016,801
New York,Female,2016,87
Rhode Island,Female,2016,0
Idaho,Male,2016,197
Idaho,Female,2016,39
Indiana,Female,2016,146
Pennsylvania,Male,2016,1354
Indiana,Male,2016,840
West Virginia,Female,2016,53
North Dakota,Male,2016,76
South Carolina,Female,2016,151
Illinois,Male,2016,1340
Illinois,Female,2016,137
Oregon,Male,2016,426
Oregon,Female,2016,77
New Mexico,Female,2016,71
New Mexico,Male,2016,296
Wisconsin,Female,2016,83
Georgia,Female,2016,242
Iowa,Male,2016,259
Iowa,Female,2016,31
Florida,Male,2016,2236
Ohio,Male,2016,1292
Ohio,Female,2016,220
North Dakota,Female,2016,14
Alabama,Female,2016,180
Kansas,Female,2016,50
Kansas,Male,2016,332
Utah,Female,2017,68
South Carolina,Female,2017,150
Hawaii,Female,2017,0
Hawaii,Male,2017,31
Massachusetts,Female,2017,24
Utah,Male,2017,336
Alabama,Male,2017,937
North Carolina,Male,2017,1211
Nebraska,Female,2017,19
Georgia,Female,2017,265
Georgia,Male,2017,1340
Nevada,Male,2017,399
Nevada,Female,2017,96
Iowa,Female,2017,23
Texas,Female,2017,571
Texas,Male,2017,2913
Pennsylvania,Male,2017,1386
Pennsylvania,Female,2017,229
Maryland,Female,2017,63
Maryland,Male,2017,670
Colorado,Male,2017,655
Colorado,Female,2017,109
North Carolina,Female,2017,206
Nebraska,Male,2017,145
Alabama,Female,2017,185
California,Male,2017,2729
Vermont,Female,2017,13
Oregon,Male,2017,436
Missouri,Male,2017,1118
Missouri,Female,2017,184
Oklahoma,Male,2017,554
Oklahoma,Female,2017,131
Wyoming,Male,2017,100
Washington,Female,2017,116
Washington,Male,2017,703
Arizona,Male,2017,943
Wyoming,Female,2017,12
Arizona,Female,2017,181
Ohio,Male,2017,1355
Minnesota,Female,2017,47
Minnesota,Male,2017,410
Mississippi,Male,2017,531
West Virginia,Male,2017,283
West Virginia,Female,2017,62
Mississippi,Female,2017,95
Illinois,Female,2017,156
Ohio,Female,2017,214
California,Female,2017,376
Wisconsin,Male,2017,533
Virginia,Female,2017,171
Oregon,Female,2017,83
Massachusetts,Male,2017,234
Indiana,Male,2017,869
Indiana,Female,2017,142
Vermont,Male,2017,57
Alaska,Female,2017,29
Alaska,Male,2017,146
Wisconsin,Female,2017,78
Virginia,Male,2017,858
Montana,Male,2017,194
North Dakota,Female,2017,12
North Dakota,Male,2017,90
Arkansas,Male,2017,497
Arkansas,Female,2017,112
Michigan,Female,2017,138
Michigan,Male,2017,995
Idaho,Female,2017,37
Idaho,Male,2017,241
Montana,Female,2017,44
Connecticut,Female,2017,21
Illinois,Male,2017,1380
Rhode Island,Male,2017,42
Kentucky,Male,2017,608
South Dakota,Male,2017,89
Tennessee,Male,2017,1033
New Jersey,Male,2017,403
District of Columbia,Female,2017,0
District of Columbia,Male,2017,90
Connecticut,Male,2017,164
Florida,Male,2017,2283
Louisiana,Male,2017,842
Louisiana,Female,2017,158
South Dakota,Female,2017,0
Iowa,Male,2017,269
Florida,Female,2017,428
Kentucky,Female,2017,115
Kansas,Female,2017,70
Maine,Female,2017,23
South Carolina,Male,2017,741
Delaware,Female,2017,13
Delaware,Male,2017,95
New Jersey,Female,2017,68
Kansas,Male,2017,395
New Hampshire,Male,2017,125
New York,Female,2017,66
New Mexico,Male,2017,323
New York,Male,2017,691
Rhode Island,Female,2017,0
Tennessee,Female,2017,200
New Hampshire,Female,2017,19
Maine,Male,2017,143
New Mexico,Female,2017,54
Arkansas,Female,2018,93
Arkansas,Male,2018,468
Alaska,Male,2018,123
Montana,Female,2018,28
Alabama,Male,2018,889
Delaware,Female,2018,16
Massachusetts,Female,2018,22
Massachusetts,Male,2018,234
Delaware,Male,2018,91
Indiana,Female,2018,172
Rhode Island,Female,2018,0
Rhode Island,Male,2018,34
Vermont,Female,2018,13
Vermont,Male,2018,68
Florida,Male,2018,2455
Florida,Female,2018,429
South Dakota,Male,2018,100
South Dakota,Female,2018,14
North Dakota,Female,2018,14
North Dakota,Male,2018,75
Alaska,Female,2018,28
New Jersey,Female,2018,39
Connecticut,Female,2018,21
Michigan,Female,2018,189
Washington,Male,2018,669
West Virginia,Male,2018,276
West Virginia,Female,2018,63
District of Columbia,Female,2018,11
District of Columbia,Male,2018,114
Wisconsin,Male,2018,528
New Mexico,Male,2018,357
Washington,Female,2018,120
New Mexico,Female,2018,65
Mississippi,Male,2018,554
Mississippi,Female,2018,121
Ohio,Female,2018,226
Ohio,Male,2018,1314
South Carolina,Male,2018,750
Minnesota,Male,2018,398
South Carolina,Female,2018,141
Minnesota,Female,2018,29
New Jersey,Male,2018,379
Illinois,Female,2018,160
Wyoming,Male,2018,96
Michigan,Male,2018,1116
Idaho,Female,2018,51
Idaho,Male,2018,236
Virginia,Male,2018,864
Kentucky,Male,2018,641
Wisconsin,Female,2018,58
Oklahoma,Male,2018,556
Illinois,Male,2018,1216
Kentucky,Female,2018,116
Missouri,Female,2018,221
Oklahoma,Female,2018,109
Kansas,Female,2018,60
Kansas,Male,2018,364
Arizona,Male,2018,971
Arizona,Female,2018,151
Wyoming,Female,2018,27
Missouri,Male,2018,1082
Virginia,Female,2018,167
Montana,Male,2018,154
California,Male,2018,2607
New Hampshire,Male,2018,129
New Hampshire,Female,2018,21
Nebraska,Female,2018,21
Nebraska,Male,2018,161
North Carolina,Male,2018,1175
North Carolina,Female,2018,225
New York,Female,2018,89
Colorado,Female,2018,128
Colorado,Male,2018,739
California,Female,2018,359
Maryland,Female,2018,82
Tennessee,Female,2018,207
Tennessee,Male,2018,1014
New York,Male,2018,724
Pennsylvania,Female,2018,210
Pennsylvania,Male,2018,1428
Texas,Male,2018,2939
Texas,Female,2018,550
Iowa,Male,2018,252
Iowa,Female,2018,29
Georgia,Male,2018,1372
Nevada,Female,2018,99
Nevada,Male,2018,435
Maine,Male,2018,139
Maine,Female,2018,18
Georgia,Female,2018,287
Connecticut,Male,2018,163
Utah,Female,2018,54
Utah,Male,2018,325
Maryland,Male,2018,615
Alabama,Female,2018,175
Hawaii,Male,2018,43
Hawaii,Female,2018,10
Louisiana,Female,2018,150
Louisiana,Male,2018,838
Indiana,Male,2018,797
Oregon,Female,2018,79
Oregon,Male,2018,425
Ohio,Female,2019,214
Georgia,Male,2019,1412
Wisconsin,Male,2019,503
Delaware,Male,2019,79
Iowa,Female,2019,34
Washington,Male,2019,696
Washington,Female,2019,121
Iowa,Male,2019,256
Montana,Male,2019,163
Oregon,Female,2019,86
Texas,Female,2019,570
Idaho,Male,2019,208
Idaho,Female,2019,40
